date,temperature,humidity,precipitation,wind_speed
2023-04-26,32.7,47,0.0,8.1
2023-04-27,34.2,44,0.0,6.8
2023-04-28,31.8,48,0.0,8.4
2023-04-29,29.3,52,0.26,13.0
2023-04-30,26.9,56,0.61,16.1
2023-05-01,30.0,52,0.0,12.3
2023-05-02,32.6,48,0.0,10.1
2023-05-03,34.6,44,0.0,8.6
2023-05-04,36.0,41,0.0,7.2
2023-05-05,33.6,45,0.0,8.9
2023-05-06,31.2,49,0.35,14.7
2023-05-07,28.7,53,0.72,18.1
2023-05-08,26.3,57,0.48,16.4
2023-05-09,29.4,51,0.0,12.8
2023-05-10,32.6,47,0.0,10.6
2023-05-11,35.1,43,0.0,9.0
2023-05-12,36.6,40,0.0,7.5
2023-05-13,34.2,44,0.0,9.3
2023-05-14,31.7,48,0.29,15.2
2023-05-15,29.3,52,0.68,19.0
2023-05-16,26.9,56,0.51,17.6
2023-05-17,30.0,50,0.0,13.4
2023-05-18,33.1,46,0.0,11.2
2023-05-19,35.7,42,0.0,9.4
2023-05-20,37.1,39,0.0,8.0
2023-05-21,34.7,43,0.0,9.8
2023-05-22,32.3,47,0.42,16.3
2023-05-23,29.8,51,0.85,20.2
2023-05-24,27.4,55,0.59,18.7
2023-05-25,30.6,49,0.0,14.1
2023-05-26,33.7,45,0.0,11.8
2023-05-27,36.2,41,0.0,10.0
2023-05-28,37.7,38,0.0,8.5
2023-05-29,35.3,42,0.0,10.4
2023-05-30,32.8,46,0.38,17.1
2023-05-31,30.4,50,0.76,21.3
2023-06-01,33.6,68,0.0,15.8
2023-06-02,35.6,64,0.0,13.2
2023-06-03,37.6,60,0.0,11.5
2023-06-04,38.4,57,0.0,9.8
2023-06-05,36.6,61,0.0,11.7
2023-06-06,34.7,65,0.51,18.4
2023-06-07,32.3,69,1.12,22.8
2023-06-08,30.4,73,0.74,20.5
2023-06-09,33.6,67,0.0,16.2
2023-06-10,36.1,63,0.0,13.9
2023-06-11,38.1,59,0.0,12.1
2023-06-12,39.6,56,0.0,10.4
2023-06-13,37.7,60,0.0,12.5
2023-06-14,35.8,64,0.43,19.1
2023-06-15,34.0,68,1.28,24.0
2023-06-16,32.1,72,0.89,21.8
2023-06-17,35.2,66,0.0,17.5
2023-06-18,37.2,62,0.0,14.8
2023-06-19,39.2,58,0.0,13.0
2023-06-20,40.1,55,0.0,11.2
2023-06-21,38.3,59,0.0,13.3
2023-06-22,36.4,63,0.67,20.4
2023-06-23,34.6,67,1.45,25.7
2023-06-24,32.7,71,0.98,23.1
2023-06-25,35.8,65,0.0,18.8
2023-06-26,37.8,61,0.0,15.9
2023-06-27,39.8,57,0.0,13.8
2023-06-28,40.7,54,0.0,12.0
2023-06-29,38.8,58,0.0,14.2
2023-06-30,36.9,62,0.52,21.1
2023-07-01,36.2,70,0.0,17.3
2023-07-02,38.2,66,0.0,14.7
2023-07-03,39.6,62,0.0,12.8
2023-07-04,40.5,59,0.0,11.0
2023-07-05,38.7,63,0.0,13.1
2023-07-06,36.8,67,0.35,19.8
2023-07-07,34.9,71,1.21,25.2
2023-07-08,33.1,75,0.83,22.6
2023-07-09,36.2,69,0.0,18.4
2023-07-10,38.2,65,0.0,15.5
2023-07-11,40.2,61,0.0,13.6
2023-07-12,41.1,58,0.0,11.8
2023-07-13,39.2,62,0.0,14.0
2023-07-14,37.3,66,0.58,20.9
2023-07-15,35.5,70,1.37,26.8
2023-07-16,33.6,74,0.91,24.0
2023-07-17,36.7,68,0.0,19.2
2023-07-18,38.7,64,0.0,16.1
2023-07-19,40.7,60,0.0,14.2
2023-07-20,41.6,57,0.0,12.3
2023-07-21,39.8,61,0.0,14.8
2023-07-22,37.9,65,0.44,21.6
2023-07-23,36.1,69,1.53,27.9
2023-07-24,34.2,73,1.02,25.1
2023-07-25,37.3,67,0.0,20.0
2023-07-26,39.3,63,0.0,16.8
2023-07-27,41.3,59,0.0,14.9
2023-07-28,42.2,56,0.0,13.0
2023-07-29,40.3,60,0.0,15.5
2023-07-30,38.4,64,0.61,22.3
2023-07-31,36.6,68,1.18,28.5
2023-08-01,35.2,72,0.0,21.7
2023-08-02,37.2,68,0.0,18.2
2023-08-03,39.2,64,0.0,15.8
2023-08-04,40.1,61,0.0,13.9
2023-08-05,38.2,65,0.0,16.1
2023-08-06,36.3,69,0.39,23.0
2023-08-07,34.5,73,1.09,29.2
2023-08-08,32.6,77,0.76,26.3
2023-08-09,35.7,71,0.0,21.5
2023-08-10,37.7,67,0.0,18.0
2023-08-11,39.7,63,0.0,16.0
2023-08-12,40.6,60,0.0,14.1
2023-08-13,38.8,64,0.0,16.8
2023-08-14,36.9,68,0.53,24.1
2023-08-15,35.1,72,1.24,30.6
2023-08-16,33.2,76,0.88,27.8
2023-08-17,36.3,70,0.0,22.9
2023-08-18,38.3,66,0.0,19.3
2023-08-19,40.3,62,0.0,16.7
2023-08-20,41.2,59,0.0,14.8
2023-08-21,39.3,63,0.0,17.5
2023-08-22,37.4,67,0.47,25.2
2023-08-23,35.6,71,1.41,32.0
2023-08-24,33.7,75,0.95,29.1
2023-08-25,36.8,69,0.0,24.3
2023-08-26,38.8,65,0.0,20.5
2023-08-27,40.8,61,0.0,17.8
2023-08-28,41.7,58,0.0,15.6
2023-08-29,39.9,62,0.0,18.2
2023-08-30,38.0,66,0.34,26.4
2023-08-31,36.2,70,1.17,33.1
2023-09-01,36.0,74,0.0,25.8
2023-09-02,38.0,70,0.0,21.7
2023-09-03,39.4,66,0.0,18.9
2023-09-04,37.6,69,0.0,20.3
2023-09-05,35.2,73,0.28,27.5
2023-09-06,32.8,77,0.92,34.2
2023-09-07,30.9,80,0.65,31.0
2023-09-08,34.0,76,0.0,26.9
2023-09-09,36.6,72,0.0,22.8
2023-09-10,38.6,68,0.0,19.7
2023-09-11,36.7,71,0.0,21.4
2023-09-12,34.3,75,0.41,28.6
2023-09-13,31.9,78,1.08,35.3
2023-09-14,30.0,81,0.73,32.5
2023-09-15,33.1,77,0.0,28.1
2023-09-16,35.7,73,0.0,24.0
2023-09-17,37.7,69,0.0,20.8
2023-09-18,35.8,72,0.0,22.6
2023-09-19,33.4,76,0.36,29.8
2023-09-20,31.0,79,0.89,36.7
2023-09-21,29.1,82,0.58,33.9
2023-09-22,32.2,78,0.0,29.4
2023-09-23,34.8,74,0.0,25.2
2023-09-24,36.8,70,0.0,21.9
2023-09-25,34.9,73,0.0,23.7
2023-09-26,32.5,77,0.49,31.0
2023-09-27,30.1,80,1.15,38.1
2023-09-28,28.2,83,0.81,35.2
2023-09-29,31.3,79,0.0,30.6
2023-09-30,33.9,75,0.0,26.4
2023-10-01,31.5,78,0.0,23.1
2023-10-02,29.1,81,0.0,25.0
2023-10-03,26.1,84,0.32,32.2
2023-10-04,23.7,87,0.97,39.5
2023-10-05,21.8,89,0.64,36.4
2023-10-06,24.9,86,0.0,31.8
2023-10-07,27.4,82,0.0,27.5
2023-10-08,29.4,78,0.0,24.2
2023-10-09,27.6,81,0.0,26.3
2023-10-10,25.2,84,0.43,33.5
2023-10-11,22.7,87,1.12,40.8
2023-10-12,20.8,89,0.78,37.6
2023-10-13,23.9,86,0.0,33.0
2023-10-14,27.1,82,0.0,28.7
2023-10-15,29.6,78,0.0,25.4
2023-10-16,27.8,81,0.0,27.6
2023-10-17,25.3,84,0.38,34.8
2023-10-18,22.9,87,0.95,42.1
2023-10-19,21.0,89,0.67,38.8
2023-10-20,24.1,86,0.0,34.2
2023-10-21,26.7,82,0.0,29.8
2023-10-22,29.2,78,0.0,26.5
2023-10-23,27.4,81,0.0,28.9
2023-10-24,24.9,84,0.52,36.1
2023-10-25,22.5,87,1.21,43.4
2023-10-26,20.1,89,0.83,40.0
2023-10-27,23.2,86,0.0,35.4
2023-10-28,25.7,82,0.0,30.9
2023-10-29,28.3,78,0.0,27.6
2023-10-30,26.4,81,0.0,30.2
2023-10-31,24.0,84,0.41,37.4
2023-11-01,22.7,80,0.0,32.1
2023-11-02,24.7,76,0.0,28.2
2023-11-03,21.7,79,0.0,31.5
2023-11-04,19.3,82,0.47,38.7
2023-11-05,16.8,84,1.08,44.6
2023-11-06,14.9,86,0.72,41.2
2023-11-07,18.1,83,0.0,36.6
2023-11-08,20.6,79,0.0,32.0
2023-11-09,23.2,75,0.0,28.7
2023-11-10,21.3,78,0.0,32.8
2023-11-11,18.9,81,0.35,39.9
2023-11-12,16.4,83,0.86,45.8
2023-11-13,14.0,85,0.58,42.4
2023-11-14,17.1,82,0.0,37.8
2023-11-15,19.7,78,0.0,33.1
2023-11-16,22.2,74,0.0,29.8
2023-11-17,20.4,77,0.0,34.1
2023-11-18,17.9,80,0.49,41.2
2023-11-19,15.5,82,1.15,47.0
2023-11-20,13.1,84,0.81,43.6
2023-11-21,16.2,81,0.0,39.0
2023-11-22,18.7,77,0.0,34.3
2023-11-23,21.3,73,0.0,30.9
2023-11-24,19.4,76,0.0,35.4
2023-11-25,17.0,79,0.42,42.5
2023-11-26,14.6,81,0.97,48.2
2023-11-27,12.1,83,0.65,44.8
2023-11-28,15.2,80,0.0,40.2
2023-11-29,17.8,76,0.0,35.4
2023-11-30,20.3,72,0.0,32.0
2023-12-01,18.5,75,0.0,36.7
2023-12-02,16.1,78,0.38,43.8
2023-12-03,13.6,80,0.83,49.4
2023-12-04,11.2,82,0.56,46.0
2023-12-05,14.3,79,0.0,41.4
2023-12-06,16.8,75,0.0,36.6
2023-12-07,19.4,71,0.0,33.1
2023-12-08,17.6,74,0.0,38.0
2023-12-09,15.1,77,0.51,45.1
2023-12-10,12.7,79,1.12,50.6
2023-12-11,10.2,81,0.74,47.2
2023-12-12,13.3,78,0.0,42.6
2023-12-13,15.9,74,0.0,37.8
2023-12-14,18.4,70,0.0,34.2
2023-12-15,16.6,73,0.0,39.3
2023-12-16,14.2,76,0.44,46.4
2023-12-17,11.7,78,0.95,52.8
2023-12-18,9.3,80,0.63,49.4
2023-12-19,12.4,77,0.0,44.8
2023-12-20,14.9,73,0.0,40.0
2023-12-21,17.5,69,0.0,36.3
2023-12-22,15.7,72,0.0,40.7
2023-12-23,13.2,75,0.37,47.7
2023-12-24,10.8,77,0.78,53.9
2023-12-25,8.3,79,0.52,50.5
2023-12-26,11.4,76,0.0,46.0
2023-12-27,14.0,72,0.0,41.2
2023-12-28,16.6,68,0.0,37.5
2023-12-29,14.7,71,0.0,42.0
2023-12-30,12.3,74,0.49,48.9
2023-12-31,9.8,76,0.91,55.1
